"generated_at","topic_id","id.dataset","id.ressource","title.ressource","format.ressource","url.ressource","created_at.ressource","last_modified.ressource","column_name","column_datatype","python_type","score","nb_distinct","nb_missing_values","top_1","top_2","top_3"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e5a3a7295e54c41a13","7479572c-653f-4dc0-8472-6f9982a95196","pcf-evolution.csv","csv","https://static.data.gouv.fr/resources/pratiques-culturelles-des-francais-evolution-1973-2008-1/20250827-121706/pcf-evolution.csv","2018-05-08T06:00:37.961000+00:00","2025-08-27T12:17:07.153000+00:00","Thème","string","string","1.0","6","0","Spectacle vivant","Lecture et bibliothèques","Sorties et cinéma"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e5a3a7295e54c41a13","7479572c-653f-4dc0-8472-6f9982a95196","pcf-evolution.csv","csv","https://static.data.gouv.fr/resources/pratiques-culturelles-des-francais-evolution-1973-2008-1/20250827-121706/pcf-evolution.csv","2018-05-08T06:00:37.961000+00:00","2025-08-27T12:17:07.153000+00:00","Tableaux","string","string","1.0","17","0","Forte consommation de télévision","Fréquentation régulière des salles de cinéma","Pratiques autres que musicales en amateur"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e5a3a7295e54c41a13","7479572c-653f-4dc0-8472-6f9982a95196","pcf-evolution.csv","csv","https://static.data.gouv.fr/resources/pratiques-culturelles-des-francais-evolution-1973-2008-1/20250827-121706/pcf-evolution.csv","2018-05-08T06:00:37.961000+00:00","2025-08-27T12:17:07.153000+00:00","Lien (tableau xls)","url","string","1.25","17","0","http://www.pratiquesculturelles.culture.gouv.fr/doc/evolution73-08/T1-TELEVISION.xls","http://www.pratiquesculturelles.culture.gouv.fr/doc/evolution73-08/T11-FREQUENTATION-REGULIERE-CINEMA.xls","http://www.pratiquesculturelles.culture.gouv.fr/doc/evolution73-08/T8-PRATIQUES-ARTISTIQUES.xls"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","IDPatrimostat","string","string","1.0","0","0","","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","IDMuseofile","string","string","1.0","0","0","","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","region","string","string","1.0","0","0","","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","departement","departement","string","1.5","102","0","Paris","Bouches-du-Rhône","Alpes-Maritimes"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","dateappellation","date","date","1.25","67","22","01/02/2003","06/01/2002","08/07/2004"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","ferme","string","string","1.0","0","0","","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","anneefermeture","string","string","1.0","0","0","","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","nom_du_musee","string","string","1.0","0","0","","",""
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","lien_avec","int","int","1.0","31","12038","7511618","6912301","1038704"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","ville","commune","string","1.3420774869109948","848","0","PARIS","NICE","MARSEILLE"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","codeInseeCommune","code_commune","string","1.4967277486910997","851","0","75056","06088","13055"
"2026-06-22T09:46:20.461788+00:00","univers-culture-deps","5af120e7b595087cfabcde82","7708e380-e7f8-4b56-936a-5d2a262d852d","frequentation-des-musees-de-france.csv","csv","https://ministere-culture.s3.sbg.io.cloud.ovh.net/FREQ_MUSEES/ENTREES_ET_CATEGORIES_DE_PUBLIC.csv","2018-05-08T06:00:38.933000+00:00","2026-06-18T15:47:24+00:00","annee","year","int","1.5","11","0","2014","2021","2019"
