"generated_at","topic_id","id.dataset","title.dataset","description.dataset","tags.dataset","created_at.dataset","last_modified.dataset","archived.dataset"
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698eb1a3a729239d203527","Aide à la résidence territoriale pour les arts de la rue et les arts du cirque 2013","Le jeu de données concerne les aides accordées en 2013 dans le cadre de
l'aide à la résidence territoriale pour les arts de la rue et les arts
du cirque.

La résidence est entendue comme l’association d’un artiste ou d’une
équipe artistique et d’une collectivité locale ou structure d’accueil
autour d’un projet de résidence arts de la rue ou de la piste dans
l’espace public. Il s’agit de favoriser la présence durable d’artistes
sur un territoire pour une durée qui dépasse celle de la simple
présentation d’une œuvre ou d’un spectacle. Cette présence s’inscrit
dans une stratégie de développement local et repose sur une triple
mission : la création ou présentation d’étapes de travail ou maquettes,
la diffusion large et diversifiée de la production et des actions de
sensibilisation et d’accompagnement auprès des populations. 

***Bénéficiaires***

Peuvent être bénéficiaires de cette aide régionale les structures qui
agissent pour le développement de la création, de la production et de la
diffusion des œuvres dans l’espace public : compagnie de rue ou de
cirque, collectif d’artistes, opérateur intervenant dans les champs
artistiques arts de la rue et arts du cirque ; collectivités locales et
lieux institutionnels. La structure d’accueil doit être dotée de moyens
humains, logistiques et techniques suffisants pour garantir la
faisabilité de la résidence.

***Conditions d’éligibilité ***

Les projets éligibles doivent se développer autour d’une résidence
territoriale (de création ou d’implantation) en Île-de-France, sur une
durée précise : 

- moins de 6 mois pour les résidences dites de création 

- de 6 mois à 1 an pour les résidences d’implantation. 

Une priorité sera donnée aux projets qui se déroulent sur des
territoires où les champs artistiques des arts de la rue et des arts du
cirque sont moins ou peu présents. \

Ils doivent répondre aux critères suivants : 

- concerner des artistes/compagnies dont le projet de création ou de
territoire s’inscrit dans l’espace public. Sont concernés les projets
sous chapiteau ou dans l’espace public pour les arts de la piste. 

- préciser les conditions de la résidence en détaillant notamment le
projet artistique, la durée de la résidence, les apports en nature, en
numéraire, etc.

- la résidence de création aura pour but de réaliser une production de
la phase de répétition à la phase de la création scénique 

- la résidence d’implantation impliquera nécessairement des actions
artistiques et culturelles sur le territoire d’accueil avec les
habitants 

- favoriser de manière générale une relation vivante des habitants à la
création dans l’espace public 

- faire l’objet d’une convention entre l’équipe artistique et la
collectivité ou le lieu d’accueil. 

- développer un accompagnement technique et éventuellement
administratif.

Le porteur de projet doit bénéficier d’un soutien financier et/ou en
nature, d’un partenaire public autre que la Région.

***Nature et modalités de l’aide ***

L’aide régionale accompagne des projets spécifiques délimités dans le
temps et peut être renouvelée. Cette aide n’est pas cumulable avec celle
attribuée au titre du dispositif régional de la Permanence artistique et
culturelle et de l’aide aux réseaux. Une même structure peut recevoir
une aide au titre de chacun de ces deux dispositifs dès lors que tout
projet subventionné au titre de l’un ou de l’autre des dispositifs aura
été achevé. L’aide est fixée à 50% de la dépense subventionnable HT ou
TTC si la structure ne récupère pas la TVA, dans la limite d’un plafond
de subvention maximum fixé à 20 000€, pour la résidence de 1 à 6 mois et
de 40 000 € pour la résidence de 6 à 12 mois. Sont éligibles toutes les
dépenses imputables à la résidence territoriale proposée dans le cadre
de ce projet.

*Critères d’attribution *

- Présentation d’un projet de résidence résultant d’un processus de
co-élaboration entre l’artiste/la compagnie et la collectivité/structure
d’accueil. 

- La nature, les objectifs, le contenu de la résidence résultant d’un
processus de co-élaboration entre les porteurs du projet 

- La cohérence du budget et la viabilité du projet 

- Proposition d’une « restitution » du travail de résidence 

- Le respect des législations en vigueur et de la rémunération des
artistes dans le cadre des minima prévus dans les accords
professionnels 

- Une priorité est donnée aux projets qui s’inscrivent dans une démarche
vertueuse sur les plans social, environnemental et énergétique, de la
lutte contre le réchauffement climatique, de la protection de la
biodiversité et plus largement sur le plan environnemental. 

Une attention particulière sera apportée à l’eco-soutenabilité des
projets.","aide;art;cirque;culture;geolocalisation;subvention","2014-04-22T07:37:30.021000+00:00","2024-01-28T07:44:55.610000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698eb3a3a729239d20352d","Aide à projet arts de la rue et arts du cirque 2013","Le jeu de données concerne les aides accordées en 2013 dans le cadre de
l'aide à projet arts de la rue et arts du cirque. 

***Bénéficiaires ***

Peuvent être bénéficiaires de cette aide régionale les acteurs du champ
des arts de la rue et du cirque et agissant pour le développement de la
création, de la production et de la diffusion des œuvres dans l’espace
public : compagnies, collectif d’artistes, opérateurs, lieux dirigés par
une équipe artistique, structures organisatrices de temps forts
ou événements.

***Conditions d’éligibilité ***

Les projets pouvant être éligibles à l’aide régionale sont :

- des projets de création ou de reprise artistique dans l’espace public
intégrant le contexte environnant dont les projets in situ ; présentés
par des structures professionnelles de création (compagnies et
opérateurs) ayant déjà créé et diffusé au moins un spectacle au titre de
ce champ artistique. Sont également concernés les projets de création
portés par les équipes artistiques ayant fait le choix de l’itinérance
sous chapiteau et diffusant ainsi leur spectacle au cœur de la cité et
au plus près de ses habitants. La Région sera attentive aux projets
relevant de l’émergence artistique afin d’accompagner la création de
demain et de faciliter la rencontre de ces artistes avec les publics.

ou

- des projets ou évènements hors festivals et hors fêtes de ville se
déroulant sur le territoire francilien mettant en valeur les arts de la
rue et/ou les arts du cirque, la diffusion dans l’espace public et
l’émergence artistique. Une priorité sera donnée aux projets qui se
déroulent sur des territoires où ces champs artistiques sont moins
présents. Les projets doivent proposer des actions spécifiques en
direction des franciliens afin de créer les conditions de la rencontre
entre les artistes et les publics.

Le rayonnement régional n’est pas ici un critère d’éligibilité
contrairement à l’aide aux manifestations culturelles. Par ailleurs, la
prise en compte de la relation aux publics est une donnée essentielle
qui doit apparaître dans la mise en œuvre de ces projets. 

Ces projets peuvent être, par exemple :

- un temps fort autour de la découverte des arts de la rue et/ou des
arts du cirque hors festivals et hors fêtes de ville

- l’ouverture pour la première fois d’une saison aux arts de la rue avec
une suite de rendez-vous permettant aux publics de découvrir les arts de
la rue et de la piste dans l’espace public.

Dans les deux cas, il s’agit d’accompagner des initiatives nouvelles ne
relevant pas d’une temporalité fixe et annuelle et de soutenir la prise
de risque de l’organisateur qu’il s’agisse d’un opérateur, d’un lieu de
diffusion (théâtre, centre culturel) ou d’une collectivité locale.

***Nature et modalités de l’aide ***

L’aide régionale accompagne des projets spécifiques délimités dans le
temps et peut être renouvelée. Cette aide n’est pas cumulable avec
l’aide aux réseaux. Une priorité est donnée aux projets dont les
porteurs ne sont déjà pas soutenus par la Région. Une même structure
peut recevoir une aide au titre de chacun de ces deux dispositifs dès
lors que tout projet subventionné au titre de l’un ou de l’autre des
dispositifs aura été achevé.

*Critères d’attribution *

- La nature, les objectifs, le contenu et la singularité du projet
artistique 

- La cohérence du budget et la viabilité du projet 

- La diversité et la pertinence des partenariats engagés 

- Le respect des législations en vigueur et de la rémunération des
artistes dans le cadre des minima prévus dans les accords
professionnels 

- Une priorité est donnée aux projets qui s’inscrivent dans une démarche
vertueuse sur les plans social, environnemental et énergétique, de la
lutte contre le réchauffement climatique, de la protection de la
biodiversité et plus largement sur le plan environnemental.

*Dépenses éligibles et modalités de financement*

Sont éligibles les dépenses imputables au développement des projets
visés à l’alinéa 3.Dans le cas de projet sous chapiteau ou structure
mobile fermée et ouverte, les dépenses relatives à l’installation
(montage, démontage) sont prises en compte.

Le soutien régional est plafonné à 50% maximum de la dépense
subventionnable HT dans un plafond maximum de subvention fixé à 40 000€.","aide;art;cirque;culture;geolocalisation;subvention","2014-04-22T07:45:28.826000+00:00","2024-01-28T07:44:54.903000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698eb4a3a729239d20352e","Aide à projet « Musiques actuelles et amplifiées » 2011-2014","Le jeu de données concerne le dispositif mis en œuvre en 2011 par la
Région pour soutenir l’émergence, la création et la prise de risque
artistique dans le domaine des musiques actuelles et amplifiées. 

A travers cette aide, la Région souhaite soutenir la diversité des
esthétiques de l’offre musicale régionale, soutenir l’émergence, la
création et la prise de risque artistique, mais aussi l’élargissement de
la diffusion des artistes et la circulation des publics à l’échelle
régionale. Cette aide peut dans certains cas aider à la mobilité des
artistes pour présenter des productions franciliennes dans d’autres
régions de France.

**Informations complémentaires sur le dispositif** :

***Bénéficiaires***

- Scènes généralistes investies dans un projet de diffusion des musiques
actuelles.

- Lieux spécialement dédiés aux musiques actuelles. 

- Structures organisatrices d’événements. 

- Collectivités territoriales qui développent une politique culturelle
en faveur des musiques actuelles. 

***Conditions d’éligibilité*** 

1- Manifestations (hors festivals) organisées sur le territoire
francilien. 

- Priorité est donnée aux projets se déroulant sur des territoires où
les scènes de musiques actuelles sont moins présentes, et aux artistes
signés par des labels indépendants dont 30 % au plus du capital social
sont détenus directement/indirectement par une multinationale du disque.

- Projets devant proposer des actions spécifiques de rencontres entre
les publics franciliens et les artistes : temps fort autour de la
découverte d’une esthétique particulière, présentation sur scène des
artistes d’un label indépendant, collaboration artistique entre
différents lieux. 

2- Projets favorisant la mobilité des artistes franciliens émergents sur
et hors de l’Île-de-France.

- 5 dates minimum doivent être organisées, dans différentes communes et
départements pour un même concert. 

- Priorité est donnée aux projets d’artistes signés par des labels
indépendants franciliens dont 30 % au plus du capital social sont
détenus directement/indirectement par une multinationale du disque,
ainsi qu’aux artistes autoproduits. 

***Nature et modalités de l’aide ***

Taux maximum de 50 % de la dépense subventionnable HT, dans la limite de
40 000 €.","aide;artistes;culture;geolocalisation;musique;subvention","2014-04-22T07:34:49.578000+00:00","2024-01-28T07:44:54.057000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698eb4a3a729239d20352f","Aide au développement de la permanence artistique et culturelle 2007-2013","Le jeu de données concerne l'aide au développement de la permanence
artistique et culturelle.

***Bénéficiaires ***

Toute structure professionnelle de création ou de diffusion publique ou
privée, gérante ou non d’un lieu (compagnies, équipes artistiques, lieux
de diffusion, lieux intermédiaires…) 

***Conditions d’éligibilité** *

- Garantir l’indépendance de la direction artistique.

- Comporter une dimension « développement » justifiant le soutien de la
Région. 

- Prévoir l’accueil de résidences/d’équipes artistiques et en expliciter
les conditions de mise en œuvre

- Conforter l’emploi artistique dans la durée de la convention. 

- Permettre la diffusion du travail achevé ou en cours de réalisation. 

- Ce projet doit être financé au moins par un second partenaire public
(collectivité territoriale ou Etat) 

***Nature et modalités de l’aide ***

Taux maximum de 60 % du coût du projet HT. 

Les conventions PAC font l’objet d’un suivi régulier et d’une évaluation
annuelle. La Commission pour la Permanence artistique et culturelle
(composée à parité d’élu-e-s régionaux et de professionnel-e-s du
secteur du spectacle vivant) siège pour avis lors des demandes de
renouvellements de convention et des nouvelles demandes de
conventionnement.\","aide;art;culture;geolocalisation;subvention","2014-04-22T07:44:29.238000+00:00","2015-12-23T10:32:12.629000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698eb6a3a729239d203535","Aide aux fonds pour les disquaires indépendants 2011-2013","Le jeu de données concerne les aides accordées depuis 2011 dans le cadre
de l'aide aux fonds pour les disquaires indépendants.

La Région favorise l’élargissement de la diffusion musicale en dehors
des grands circuits de distribution ainsi que l’accessibilité des
Franciliens au répertoire des musiques actuelles.

***Bénéficiaires*** 

Disquaires indépendants : 

- généralistes ou spécialisés, dont l’activité principale est la vente
de CD, vinyles, DVD neufs ; 

- dont 60 % des références proposées à la vente proviennent des
catalogues des labels indépendants (labels dont au plus 30 % du capital
social sont détenus, directement/indirectement, par une société
multinationale du disque). Le nombre de labels indépendants représentés
doit être au moins égal à 40, avec au minimum trois distributeurs
indépendants. 

***Conditions d’éligibilité ***

Acquisition d’un fonds discographique général dans le cadre de la
création de l’activité, ou de la constitution d’un fonds discographique
thématique. 

***Nature et modalités de l’aide ***

- Pour l’acquisition d’un fonds général : taux maximum de 50 % de la
dépense subventionnable HT, dans la limite de 10 000 €. 

- Pour la création d’un fonds thématique : taux maximum de 50 % de la
dépense subventionnable HT, dans la limite de 5 000 €. 

Attention : l’aide à la constitution d’un fonds thématique ne peut être
attribuée que tous les deux ans.","aide;culture;disquaire;geolocalisation;musique;subvention","2014-04-22T07:40:17.829000+00:00","2015-08-08T13:30:48.550000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698ec0a3a729239d20354e","Aides aux manifestations culturelles 2006-2013","Le jeu de données concerne les aides aux manifestations culturelles de
2006 à 2013.

Depuis 2005, la Région soutient des festivals et des manifestations
artistiques d’envergure régionale par leur rayonnement géographique ou
par le caractère innovant ou inédit du contenu. Ces manifestations
s’accompagnent d’actions culturelles auprès des publics. En 2013, la
Région a soutenu 67 manifestations.

***Bénéficiaires ***

Toute structure professionnelle de création ou de diffusion, publique ou
privée. 

***Conditions d’éligibilité ***

- Avoir un rayonnement d’ampleur régionale.

- Contribuer à la diversification de l’offre artistique et culturelle
sur un territoire donné. 

- Bénéficier de partenaires publics ou privés avérés.

- Mener des actions artistiques et culturelles avec les publics. 

***Nature et modalités de l’aide ***

- Taux maximum de 30 % du coût du projet HT, dans la limite de 50 000
€. 

- Pour les manifestations bénéficiant d’au moins deux partenaires
publics autres que la Région : taux maximum de 20 % du coût du projet
HT, dans la limite de 100 000 €.","aide;art;culture;geolocalisation;subvention","2014-04-22T07:37:57.643000+00:00","2015-07-15T23:43:27.977000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698ec1a3a729239d203551","Aides aux réseaux culturels franciliens 2008-2013","Le jeu de données concerne les aides aux réseaux culturels franciliens
de 2008 à 2013.

Depuis 2005, les aides aux réseaux soutiennent le fonctionnement de
structures professionnelles franciliennes, représentatives (notamment en
nombre d’adhérents) d’une esthétique ou d’un secteur artistique ou
culturel à l’échelle régionale, et qui permettent de mettre des moyens
en commun. En 2013, 23 réseaux ont bénéficié de l’aide de la Région.

***Bénéficiaires ***

Tout réseau culturel francilien 

***Conditions d’éligibilité*** 

- Etre représentatif à l’échelon régional, par l’ampleur du regroupement
ou par le caractère innovant ou inédit des formes d’interventions
proposées 

- Proposer une offre de mutualisation de moyens dont l’efficacité et la
pertinence peuvent être appréciées auprès des adhérents 

- Disposer de partenariats avérés, publics ou privés 

***Nature et modalités de l’aide*** 

- Le taux maximum est plafonné à 60 % du fonctionnement des structures
existantes et à 80 % pour la première année d’existence","aide;art;culture;geolocalisation;subvention","2014-04-22T07:43:42.287000+00:00","2015-08-04T23:46:58.602000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698edca3a729239d2035ac","Annexe au projet de loi de finances pour 2012. Effort financier de l’État dans le domaine de la culture et de la communication","Annexe au projet de loi de finances pour 2012. Effort financier de l’État dans le domaine de la culture et de la communication.Les crédits sont retracés à la fois :- par grande politique culturelle selon les principaux axes retenus par le ministère de la culture et de la communication pour ses propres crédits : Patrimoines ; Création ; Transmission des savoirs ; Presse ; Livre et industries culturelles ; Contribution à l’audiovisuel et à la diversité radiophonique.-par mission, programme et ministère.On trouvera dans ce document :- Un récapitulatif des états des crédits destinés à des objets d’ordre culturel.- Les missions et programmes du budget général et de budgets annexes - Ventilation par ministère.- La mission de comptes de concours financiers - Avances à l’audiovisuel public.- Les recettes et dépenses fiscales","culture;ministeredelaculture","2013-07-08T18:09:52.878000+00:00","2025-10-23T09:58:31.951000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698edda3a729239d2035af","Annuaire des acteurs du spectacle vivant en Ille et Vilaine","Les acteurs du spectacle vivant en Ille-et-Vilaine : organismes et associations culturelles, artistes, structures de formation, de diffusion et de programmation, etc.","annuaire;culture","2013-11-13T10:09:23.461000+00:00","2016-01-16T10:32:54.048000+00:00",""
"2026-05-24T19:12:10.404603+00:00","univers-culture","53698f09a3a729239d203629","Archives des expositions et des publications de la Villa Arson","Archives des expositions et des publications de la Villa Arson (pour une description et un historique complets se reporter à l'annexe","","2013-10-13T00:51:06.022000+00:00","2014-11-05T01:42:52.202000+00:00",""
